"iso3c","date","country","region","income_level","goal","ind_quality","ind_number","goal_count"
"AGO",2020,"Angola","Sub-Saharan Africa","Lower middle income","Tier 2",0.125,19,32
"AGO",2020,"Angola","Sub-Saharan Africa","Lower middle income","1",0.333,6,6
"AGO",2020,"Angola","Sub-Saharan Africa","Lower middle income","10",0,1,1
"AGO",2020,"Angola","Sub-Saharan Africa","Lower middle income","11",0,3,3
"AGO",2020,"Angola","Sub-Saharan Africa","Lower middle income","16",0.286,7,7
"AGO",2020,"Angola","Sub-Saharan Africa","Lower middle income","2",0.5,2,2
"AGO",2020,"Angola","Sub-Saharan Africa","Lower middle income","3",1,5,5
"AGO",2020,"Angola","Sub-Saharan Africa","Lower middle income","4",0.5,6,6
"AGO",2020,"Angola","Sub-Saharan Africa","Lower middle income","5",0.429,13,14
"AGO",2020,"Angola","Sub-Saharan Africa","Lower middle income","8",0.667,6,6
"AGO",2020,"Angola","Sub-Saharan Africa","Lower middle income","Top 5 DHS/MICS Dropped",0.444,44,45
"AGO",2020,"Angola","Sub-Saharan Africa","Lower middle income","Top 7 DHS/MICS Dropped",0.442,43,43
"ALB",2020,"Albania","Europe & Central Asia","Upper middle income","Combined",0.58,49,50
"ALB",2020,"Albania","Europe & Central Asia","Upper middle income","Any Data Available",0.66,49,50
"ALB",2020,"Albania","Europe & Central Asia","Upper middle income","Tier 1",1.167,30,18
"ALB",2020,"Albania","Europe & Central Asia","Upper middle income","Tier 2",0.25,19,32
"ALB",2020,"Albania","Europe & Central Asia","Upper middle income","1",0.833,6,6
"ALB",2020,"Albania","Europe & Central Asia","Upper middle income","10",0,1,1
"ALB",2020,"Albania","Europe & Central Asia","Upper middle income","11",0,3,3
"ALB",2020,"Albania","Europe & Central Asia","Upper middle income","16",0.429,7,7
"ALB",2020,"Albania","Europe & Central Asia","Upper middle income","2",0.5,2,2
"ALB",2020,"Albania","Europe & Central Asia","Upper middle income","3",1,5,5
"ALB",2020,"Albania","Europe & Central Asia","Upper middle income","4",0.667,6,6
"ALB",2020,"Albania","Europe & Central Asia","Upper middle income","5",0.643,13,14
"ALB",2020,"Albania","Europe & Central Asia","Upper middle income","8",0.333,6,6
"ALB",2020,"Albania","Europe & Central Asia","Upper middle income","Top 5 DHS/MICS Dropped",0.6,44,45
"ALB",2020,"Albania","Europe & Central Asia","Upper middle income","Top 7 DHS/MICS Dropped",0.605,43,43
"AND",2020,"Andorra","Europe & Central Asia","High income","Combined",0.16,49,50
"AND",2020,"Andorra","Europe & Central Asia","High income","Any Data Available",0.16,49,50
"AND",2020,"Andorra","Europe & Central Asia","High income","Tier 1",0.333,30,18
"AND",2020,"Andorra","Europe & Central Asia","High income","Tier 2",0.062,19,32
"AND",2020,"Andorra","Europe & Central Asia","High income","1",0.167,6,6
"AND",2020,"Andorra","Europe & Central Asia","High income","10",0,1,1
"AND",2020,"Andorra","Europe & Central Asia","High income","11",0,3,3
"AND",2020,"Andorra","Europe & Central Asia","High income","16",0.286,7,7
"AND",2020,"Andorra","Europe & Central Asia","High income","2",0,2,2
"AND",2020,"Andorra","Europe & Central Asia","High income","3",0.4,5,5
"AND",2020,"Andorra","Europe & Central Asia","High income","4",0.333,6,6
"AND",2020,"Andorra","Europe & Central Asia","High income","5",0.071,13,14
"AND",2020,"Andorra","Europe & Central Asia","High income","8",0,6,6
"AND",2020,"Andorra","Europe & Central Asia","High income","Top 5 DHS/MICS Dropped",0.178,44,45
"AND",2020,"Andorra","Europe & Central Asia","High income","Top 7 DHS/MICS Dropped",0.163,43,43
"ARE",2020,"United Arab Emirates","Middle East & North Africa","High income","Combined",0.28,49,50
"ARE",2020,"United Arab Emirates","Middle East & North Africa","High income","Any Data Available",0.38,49,50
"ARE",2020,"United Arab Emirates","Middle East & North Africa","High income","Tier 1",0.611,30,18
"ARE",2020,"United Arab Emirates","Middle East & North Africa","High income","Tier 2",0.094,19,32
"ARE",2020,"United Arab Emirates","Middle East & North Africa","High income","1",0,6,6
"ARE",2020,"United Arab Emirates","Middle East & North Africa","High income","10",0,1,1
"ARE",2020,"United Arab Emirates","Middle East & North Africa","High income","11",0,3,3
"ARE",2020,"United Arab Emirates","Middle East & North Africa","High income","16",0.429,7,7
"ARE",2020,"United Arab Emirates","Middle East & North Africa","High income","2",0,2,2
"ARE",2020,"United Arab Emirates","Middle East & North Africa","High income","3",0.6,5,5
"ARE",2020,"United Arab Emirates","Middle East & North Africa","High income","4",0.5,6,6
"ARE",2020,"United Arab Emirates","Middle East & North Africa","High income","5",0.286,13,14
"ARE",2020,"United Arab Emirates","Middle East & North Africa","High income","8",0.167,6,6
"ARE",2020,"United Arab Emirates","Middle East & North Africa","High income","Top 5 DHS/MICS Dropped",0.311,44,45
"ARE",2020,"United Arab Emirates","Middle East & North Africa","High income","Top 7 DHS/MICS Dropped",0.326,43,43
"ARG",2020,"Argentina","Latin America & Caribbean","Upper middle income","Combined",0.54,49,50
"ARG",2020,"Argentina","Latin America & Caribbean","Upper middle income","Any Data Available",0.64,49,50
"ARG",2020,"Argentina","Latin America & Caribbean","Upper middle income","Tier 1",1.222,30,18
"ARG",2020,"Argentina","Latin America & Caribbean","Upper middle income","Tier 2",0.156,19,32
"ARG",2020,"Argentina","Latin America & Caribbean","Upper middle income","1",0.333,6,6
"ARG",2020,"Argentina","Latin America & Caribbean","Upper middle income","10",0,1,1
"ARG",2020,"Argentina","Latin America & Caribbean","Upper middle income","11",0,3,3
"ARG",2020,"Argentina","Latin America & Caribbean","Upper middle income","16",0.429,7,7
"ARG",2020,"Argentina","Latin America & Caribbean","Upper middle income","2",0.5,2,2
"ARG",2020,"Argentina","Latin America & Caribbean","Upper middle income","3",1,5,5
"ARG",2020,"Argentina","Latin America & Caribbean","Upper middle income","4",0.833,6,6
"ARG",2020,"Argentina","Latin America & Caribbean","Upper middle income","5",0.429,13,14
"ARG",2020,"Argentina","Latin America & Caribbean","Upper middle income","8",0.833,6,6
"ARG",2020,"Argentina","Latin America & Caribbean","Upper middle income","Top 5 DHS/MICS Dropped",0.556,44,45
"ARG",2020,"Argentina","Latin America & Caribbean","Upper middle income","Top 7 DHS/MICS Dropped",0.558,43,43
"ARM",2020,"Armenia","Europe & Central Asia","Upper middle income","Combined",0.693,49,50
"ARM",2020,"Armenia","Europe & Central Asia","Upper middle income","Any Data Available",0.78,49,50
"ARM",2020,"Armenia","Europe & Central Asia","Upper middle income","Tier 1",1.315,30,18
"ARM",2020,"Armenia","Europe & Central Asia","Upper middle income","Tier 2",0.344,19,32
"ARM",2020,"Armenia","Europe & Central Asia","Upper middle income","1",0.833,6,6
"ARM",2020,"Armenia","Europe & Central Asia","Upper middle income","10",0,1,1
"ARM",2020,"Armenia","Europe & Central Asia","Upper middle income","11",0,3,3
"ARM",2020,"Armenia","Europe & Central Asia","Upper middle income","16",0.524,7,7
"ARM",2020,"Armenia","Europe & Central Asia","Upper middle income","2",1,2,2
"ARM",2020,"Armenia","Europe & Central Asia","Upper middle income","3",1,5,5
"ARM",2020,"Armenia","Europe & Central Asia","Upper middle income","4",0.667,6,6
"ARM",2020,"Armenia","Europe & Central Asia","Upper middle income","5",0.714,13,14
"ARM",2020,"Armenia","Europe & Central Asia","Upper middle income","8",0.833,6,6
"ARM",2020,"Armenia","Europe & Central Asia","Upper middle income","Top 5 DHS/MICS Dropped",0.704,44,45
"ARM",2020,"Armenia","Europe & Central Asia","Upper middle income","Top 7 DHS/MICS Dropped",0.713,43,43
"ASM",2020,"American Samoa","East Asia & Pacific","Upper middle income","Combined",0.06,49,50
"ASM",2020,"American Samoa","East Asia & Pacific","Upper middle income","Any Data Available",0.06,49,50
"ASM",2020,"American Samoa","East Asia & Pacific","Upper middle income","Tier 1",0.167,30,18
"ASM",2020,"American Samoa","East Asia & Pacific","Upper middle income","Tier 2",0,19,32
"ASM",2020,"American Samoa","East Asia & Pacific","Upper middle income","1",0,6,6
"ASM",2020,"American Samoa","East Asia & Pacific","Upper middle income","10",0,1,1
"ASM",2020,"American Samoa","East Asia & Pacific","Upper middle income","11",0,3,3
"ASM",2020,"American Samoa","East Asia & Pacific","Upper middle income","16",0.143,7,7
"ASM",2020,"American Samoa","East Asia & Pacific","Upper middle income","2",0,2,2
"ASM",2020,"American Samoa","East Asia & Pacific","Upper middle income","3",0.2,5,5
"ASM",2020,"American Samoa","East Asia & Pacific","Upper middle income","4",0,6,6
"ASM",2020,"American Samoa","East Asia & Pacific","Upper middle income","5",0.071,13,14
"ASM",2020,"American Samoa","East Asia & Pacific","Upper middle income","8",0,6,6
"ASM",2020,"American Samoa","East Asia & Pacific","Upper middle income","Top 5 DHS/MICS Dropped",0.067,44,45
"ASM",2020,"American Samoa","East Asia & Pacific","Upper middle income","Top 7 DHS/MICS Dropped",0.07,43,43
"ATG",2020,"Antigua and Barbuda","Latin America & Caribbean","High income","Combined",0.18,49,50
"ATG",2020,"Antigua and Barbuda","Latin America & Caribbean","High income","Any Data Available",0.24,49,50
"ATG",2020,"Antigua and Barbuda","Latin America & Caribbean","High income","Tier 1",0.444,30,18
"ATG",2020,"Antigua and Barbuda","Latin America & Caribbean","High income","Tier 2",0.031,19,32
"ATG",2020,"Antigua and Barbuda","Latin America & Caribbean","High income","1",0.167,6,6
"ATG",2020,"Antigua and Barbuda","Latin America & Caribbean","High income","10",0,1,1
"ATG",2020,"Antigua and Barbuda","Latin America & Caribbean","High income","11",0,3,3
"ATG",2020,"Antigua and Barbuda","Latin America & Caribbean","High income","16",0.143,7,7
"ATG",2020,"Antigua and Barbuda","Latin America & Caribbean","High income","2",0,2,2
"ATG",2020,"Antigua and Barbuda","Latin America & Caribbean","High income","3",0.6,5,5
"ATG",2020,"Antigua and Barbuda","Latin America & Caribbean","High income","4",0.333,6,6
"ATG",2020,"Antigua and Barbuda","Latin America & Caribbean","High income","5",0.143,13,14
"ATG",2020,"Antigua and Barbuda","Latin America & Caribbean","High income","8",0,6,6
"ATG",2020,"Antigua and Barbuda","Latin America & Caribbean","High income","Top 5 DHS/MICS Dropped",0.2,44,45
"ATG",2020,"Antigua and Barbuda","Latin America & Caribbean","High income","Top 7 DHS/MICS Dropped",0.186,43,43
"AUS",2020,"Australia","East Asia & Pacific","High income","Combined",0.44,49,50
"AUS",2020,"Australia","East Asia & Pacific","High income","Any Data Available",0.56,49,50
"AUS",2020,"Australia","East Asia & Pacific","High income","Tier 1",0.944,30,18
"AUS",2020,"Australia","East Asia & Pacific","High income","Tier 2",0.156,19,32
"AUS",2020,"Australia","East Asia & Pacific","High income","1",0.167,6,6
"AUS",2020,"Australia","East Asia & Pacific","High income","10",0,1,1
"AUS",2020,"Australia","East Asia & Pacific","High income","11",0,3,3
"AUS",2020,"Australia","East Asia & Pacific","High income","16",0.571,7,7
"AUS",2020,"Australia","East Asia & Pacific","High income","2",0.5,2,2
"AUS",2020,"Australia","East Asia & Pacific","High income","3",0.8,5,5
"AUS",2020,"Australia","East Asia & Pacific","High income","4",0.833,6,6
"AUS",2020,"Australia","East Asia & Pacific","High income","5",0.286,13,14
"AUS",2020,"Australia","East Asia & Pacific","High income","8",0.5,6,6
"AUS",2020,"Australia","East Asia & Pacific","High income","Top 5 DHS/MICS Dropped",0.489,44,45
"AUS",2020,"Australia","East Asia & Pacific","High income","Top 7 DHS/MICS Dropped",0.512,43,43
"AUT",2020,"Austria","Europe & Central Asia","High income","Combined",0.42,49,50
"AUT",2020,"Austria","Europe & Central Asia","High income","Any Data Available",0.56,49,50
"AUT",2020,"Austria","Europe & Central Asia","High income","Tier 1",0.944,30,18
"AUT",2020,"Austria","Europe & Central Asia","High income","Tier 2",0.125,19,32
"AUT",2020,"Austria","Europe & Central Asia","High income","1",0.5,6,6
"AUT",2020,"Austria","Europe & Central Asia","High income","10",0,1,1
"AUT",2020,"Austria","Europe & Central Asia","High income","11",0,3,3
"AUT",2020,"Austria","Europe & Central Asia","High income","16",0.286,7,7
"AUT",2020,"Austria","Europe & Central Asia","High income","2",0,2,2
"AUT",2020,"Austria","Europe & Central Asia","High income","3",0.6,5,5
"AUT",2020,"Austria","Europe & Central Asia","High income","4",0.833,6,6
"AUT",2020,"Austria","Europe & Central Asia","High income","5",0.286,13,14
"AUT",2020,"Austria","Europe & Central Asia","High income","8",0.667,6,6
"AUT",2020,"Austria","Europe & Central Asia","High income","Top 5 DHS/MICS Dropped",0.467,44,45
"AUT",2020,"Austria","Europe & Central Asia","High income","Top 7 DHS/MICS Dropped",0.488,43,43
"AZE",2020,"Azerbaijan","Europe & Central Asia","Upper middle income","Combined",0.393,49,50
"AZE",2020,"Azerbaijan","Europe & Central Asia","Upper middle income","Any Data Available",0.44,49,50
"AZE",2020,"Azerbaijan","Europe & Central Asia","Upper middle income","Tier 1",0.815,30,18
"AZE",2020,"Azerbaijan","Europe & Central Asia","Upper middle income","Tier 2",0.156,19,32
"AZE",2020,"Azerbaijan","Europe & Central Asia","Upper middle income","1",0.167,6,6
"AZE",2020,"Azerbaijan","Europe & Central Asia","Upper middle income","10",0,1,1
"AZE",2020,"Azerbaijan","Europe & Central Asia","Upper middle income","11",0,3,3
"AZE",2020,"Azerbaijan","Europe & Central Asia","Upper middle income","16",0.238,7,7
"AZE",2020,"Azerbaijan","Europe & Central Asia","Upper middle income","2",0.5,2,2
"AZE",2020,"Azerbaijan","Europe & Central Asia","Upper middle income","3",0.8,5,5
"AZE",2020,"Azerbaijan","Europe & Central Asia","Upper middle income","4",0.5,6,6
"AZE",2020,"Azerbaijan","Europe & Central Asia","Upper middle income","5",0.5,13,14
"AZE",2020,"Azerbaijan","Europe & Central Asia","Upper middle income","8",0.333,6,6
"AZE",2020,"Azerbaijan","Europe & Central Asia","Upper middle income","Top 5 DHS/MICS Dropped",0.415,44,45
"AZE",2020,"Azerbaijan","Europe & Central Asia","Upper middle income","Top 7 DHS/MICS Dropped",0.434,43,43
"BDI",2020,"Burundi","Sub-Saharan Africa","Low income","Combined",0.6,49,50
"BDI",2020,"Burundi","Sub-Saharan Africa","Low income","Any Data Available",0.7,49,50
"BDI",2020,"Burundi","Sub-Saharan Africa","Low income","Tier 1",1.111,30,18
"BDI",2020,"Burundi","Sub-Saharan Africa","Low income","Tier 2",0.312,19,32
"BDI",2020,"Burundi","Sub-Saharan Africa","Low income","1",0.5,6,6
"BDI",2020,"Burundi","Sub-Saharan Africa","Low income","10",0,1,1
"BDI",2020,"Burundi","Sub-Saharan Africa","Low income","11",0,3,3
"BDI",2020,"Burundi","Sub-Saharan Africa","Low income","16",0.429,7,7
"BDI",2020,"Burundi","Sub-Saharan Africa","Low income","2",0.5,2,2
"BDI",2020,"Burundi","Sub-Saharan Africa","Low income","3",1,5,5
"BDI",2020,"Burundi","Sub-Saharan Africa","Low income","4",0.833,6,6
"BDI",2020,"Burundi","Sub-Saharan Africa","Low income","5",0.643,13,14
"BDI",2020,"Burundi","Sub-Saharan Africa","Low income","8",0.667,6,6
"BDI",2020,"Burundi","Sub-Saharan Africa","Low income","Top 5 DHS/MICS Dropped",0.578,44,45
"BDI",2020,"Burundi","Sub-Saharan Africa","Low income","Top 7 DHS/MICS Dropped",0.581,43,43
"BEL",2020,"Belgium","Europe & Central Asia","High income","Combined",0.54,49,50
"BEL",2020,"Belgium","Europe & Central Asia","High income","Any Data Available",0.66,49,50
"BEL",2020,"Belgium","Europe & Central Asia","High income","Tier 1",1.056,30,18
"BEL",2020,"Belgium","Europe & Central Asia","High income","Tier 2",0.25,19,32
"BEL",2020,"Belgium","Europe & Central Asia","High income","1",0.667,6,6
"BEL",2020,"Belgium","Europe & Central Asia","High income","10",0,1,1
"BEL",2020,"Belgium","Europe & Central Asia","High income","11",0,3,3
"BEL",2020,"Belgium","Europe & Central Asia","High income","16",0.571,7,7
"BEL",2020,"Belgium","Europe & Central Asia","High income","2",0.5,2,2
"BEL",2020,"Belgium","Europe & Central Asia","High income","3",0.6,5,5
"BEL",2020,"Belgium","Europe & Central Asia","High income","4",0.833,6,6
"BEL",2020,"Belgium","Europe & Central Asia","High income","5",0.429,13,14
"BEL",2020,"Belgium","Europe & Central Asia","High income","8",0.667,6,6
"BEL",2020,"Belgium","Europe & Central Asia","High income","Top 5 DHS/MICS Dropped",0.578,44,45
"BEL",2020,"Belgium","Europe & Central Asia","High income","Top 7 DHS/MICS Dropped",0.605,43,43
"BEN",2020,"Benin","Sub-Saharan Africa","Lower middle income","Combined",0.52,49,50
"BEN",2020,"Benin","Sub-Saharan Africa","Lower middle income","Any Data Available",0.6,49,50
"BEN",2020,"Benin","Sub-Saharan Africa","Lower middle income","Tier 1",1.056,30,18
"BEN",2020,"Benin","Sub-Saharan Africa","Lower middle income","Tier 2",0.219,19,32
"BEN",2020,"Benin","Sub-Saharan Africa","Lower middle income","1",0.5,6,6
"BEN",2020,"Benin","Sub-Saharan Africa","Lower middle income","10",0,1,1
"BEN",2020,"Benin","Sub-Saharan Africa","Lower middle income","11",0,3,3
"BEN",2020,"Benin","Sub-Saharan Africa","Lower middle income","16",0.286,7,7
"BEN",2020,"Benin","Sub-Saharan Africa","Lower middle income","2",1,2,2
"BEN",2020,"Benin","Sub-Saharan Africa","Lower middle income","3",1,5,5
"BEN",2020,"Benin","Sub-Saharan Africa","Lower middle income","4",0.667,6,6
"BEN",2020,"Benin","Sub-Saharan Africa","Lower middle income","5",0.571,13,14
"BEN",2020,"Benin","Sub-Saharan Africa","Lower middle income","8",0.333,6,6
"BEN",2020,"Benin","Sub-Saharan Africa","Lower middle income","Top 5 DHS/MICS Dropped",0.511,44,45
"BEN",2020,"Benin","Sub-Saharan Africa","Lower middle income","Top 7 DHS/MICS Dropped",0.512,43,43
"BFA",2020,"Burkina Faso","Sub-Saharan Africa","Low income","Combined",0.5,49,50
"BFA",2020,"Burkina Faso","Sub-Saharan Africa","Low income","Any Data Available",0.58,49,50
"BFA",2020,"Burkina Faso","Sub-Saharan Africa","Low income","Tier 1",1,30,18
"BFA",2020,"Burkina Faso","Sub-Saharan Africa","Low income","Tier 2",0.219,19,32
"BFA",2020,"Burkina Faso","Sub-Saharan Africa","Low income","1",0.5,6,6
"BFA",2020,"Burkina Faso","Sub-Saharan Africa","Low income","10",0,1,1
"BFA",2020,"Burkina Faso","Sub-Saharan Africa","Low income","11",0,3,3
"BFA",2020,"Burkina Faso","Sub-Saharan Africa","Low income","16",0.286,7,7
"BFA",2020,"Burkina Faso","Sub-Saharan Africa","Low income","2",1,2,2
"BFA",2020,"Burkina Faso","Sub-Saharan Africa","Low income","3",1,5,5
"BFA",2020,"Burkina Faso","Sub-Saharan Africa","Low income","4",0.667,6,6
"BFA",2020,"Burkina Faso","Sub-Saharan Africa","Low income","5",0.5,13,14
"BFA",2020,"Burkina Faso","Sub-Saharan Africa","Low income","8",0.333,6,6
"BFA",2020,"Burkina Faso","Sub-Saharan Africa","Low income","Top 5 DHS/MICS Dropped",0.533,44,45
"BFA",2020,"Burkina Faso","Sub-Saharan Africa","Low income","Top 7 DHS/MICS Dropped",0.535,43,43
"BGD",2020,"Bangladesh","South Asia","Lower middle income","Combined",0.52,49,50
"BGD",2020,"Bangladesh","South Asia","Lower middle income","Any Data Available",0.62,49,50
"BGD",2020,"Bangladesh","South Asia","Lower middle income","Tier 1",1.056,30,18
"BGD",2020,"Bangladesh","South Asia","Lower middle income","Tier 2",0.219,19,32
"BGD",2020,"Bangladesh","South Asia","Lower middle income","1",0.167,6,6
"BGD",2020,"Bangladesh","South Asia","Lower middle income","10",0,1,1
"BGD",2020,"Bangladesh","South Asia","Lower middle income","11",0,3,3
"BGD",2020,"Bangladesh","South Asia","Lower middle income","16",0.429,7,7
"BGD",2020,"Bangladesh","South Asia","Lower middle income","2",0.5,2,2
"BGD",2020,"Bangladesh","South Asia","Lower middle income","3",1,5,5
"BGD",2020,"Bangladesh","South Asia","Lower middle income","4",0.667,6,6
"BGD",2020,"Bangladesh","South Asia","Lower middle income","5",0.571,13,14
"BGD",2020,"Bangladesh","South Asia","Lower middle income","8",0.667,6,6
"BGD",2020,"Bangladesh","South Asia","Lower middle income","Top 5 DHS/MICS Dropped",0.489,44,45
"BGD",2020,"Bangladesh","South Asia","Lower middle income","Top 7 DHS/MICS Dropped",0.488,43,43
"BGR",2020,"Bulgaria","Europe & Central Asia","Upper middle income","Combined",0.44,49,50
"BGR",2020,"Bulgaria","Europe & Central Asia","Upper middle income","Any Data Available",0.52,49,50
"BGR",2020,"Bulgaria","Europe & Central Asia","Upper middle income","Tier 1",1,30,18
"BGR",2020,"Bulgaria","Europe & Central Asia","Upper middle income","Tier 2",0.125,19,32
"BGR",2020,"Bulgaria","Europe & Central Asia","Upper middle income","1",0.5,6,6
"BGR",2020,"Bulgaria","Europe & Central Asia","Upper middle income","10",0,1,1
"BGR",2020,"Bulgaria","Europe & Central Asia","Upper middle income","11",0,3,3
"BGR",2020,"Bulgaria","Europe & Central Asia","Upper middle income","16",0.429,7,7
"BGR",2020,"Bulgaria","Europe & Central Asia","Upper middle income","2",0,2,2
"BGR",2020,"Bulgaria","Europe & Central Asia","Upper middle income","3",0.8,5,5
"BGR",2020,"Bulgaria","Europe & Central Asia","Upper middle income","4",0.667,6,6
"BGR",2020,"Bulgaria","Europe & Central Asia","Upper middle income","5",0.286,13,14
"BGR",2020,"Bulgaria","Europe & Central Asia","Upper middle income","8",0.667,6,6
"BGR",2020,"Bulgaria","Europe & Central Asia","Upper middle income","Top 5 DHS/MICS Dropped",0.489,44,45
"BGR",2020,"Bulgaria","Europe & Central Asia","Upper middle income","Top 7 DHS/MICS Dropped",0.512,43,43
"BHR",2020,"Bahrain","Middle East & North Africa","High income","Combined",0.34,49,50
"BHR",2020,"Bahrain","Middle East & North Africa","High income","Any Data Available",0.38,49,50
"BHR",2020,"Bahrain","Middle East & North Africa","High income","Tier 1",0.667,30,18
"BHR",2020,"Bahrain","Middle East & North Africa","High income","Tier 2",0.156,19,32
"BHR",2020,"Bahrain","Middle East & North Africa","High income","1",0.167,6,6
"BHR",2020,"Bahrain","Middle East & North Africa","High income","10",0,1,1
"BHR",2020,"Bahrain","Middle East & North Africa","High income","11",0,3,3
"BHR",2020,"Bahrain","Middle East & North Africa","High income","16",0.429,7,7
"BHR",2020,"Bahrain","Middle East & North Africa","High income","2",0.5,2,2
"BHR",2020,"Bahrain","Middle East & North Africa","High income","3",0.6,5,5
"BHR",2020,"Bahrain","Middle East & North Africa","High income","4",0.5,6,6
"BHR",2020,"Bahrain","Middle East & North Africa","High income","5",0.286,13,14
"BHR",2020,"Bahrain","Middle East & North Africa","High income","8",0.333,6,6
"BHR",2020,"Bahrain","Middle East & North Africa","High income","Top 5 DHS/MICS Dropped",0.356,44,45
"BHR",2020,"Bahrain","Middle East & North Africa","High income","Top 7 DHS/MICS Dropped",0.372,43,43
"BHS",2020,"Bahamas, The","Latin America & Caribbean","High income","Combined",0.22,49,50
"BHS",2020,"Bahamas, The","Latin America & Caribbean","High income","Any Data Available",0.26,49,50
"BHS",2020,"Bahamas, The","Latin America & Caribbean","High income","Tier 1",0.556,30,18
"BHS",2020,"Bahamas, The","Latin America & Caribbean","High income","Tier 2",0.031,19,32
"BHS",2020,"Bahamas, The","Latin America & Caribbean","High income","1",0.167,6,6
"BHS",2020,"Bahamas, The","Latin America & Caribbean","High income","10",0,1,1
"BHS",2020,"Bahamas, The","Latin America & Caribbean","High income","11",0,3,3
"BHS",2020,"Bahamas, The","Latin America & Caribbean","High income","16",0.143,7,7
"BHS",2020,"Bahamas, The","Latin America & Caribbean","High income","2",0,2,2
"BHS",2020,"Bahamas, The","Latin America & Caribbean","High income","3",0.8,5,5
"BHS",2020,"Bahamas, The","Latin America & Caribbean","High income","4",0.333,6,6
"BHS",2020,"Bahamas, The","Latin America & Caribbean","High income","5",0.143,13,14
"BHS",2020,"Bahamas, The","Latin America & Caribbean","High income","8",0.167,6,6
"BHS",2020,"Bahamas, The","Latin America & Caribbean","High income","Top 5 DHS/MICS Dropped",0.244,44,45
"BHS",2020,"Bahamas, The","Latin America & Caribbean","High income","Top 7 DHS/MICS Dropped",0.233,43,43
"BIH",2020,"Bosnia and Herzegovina","Europe & Central Asia","Upper middle income","Combined",0.46,49,50
"BIH",2020,"Bosnia and Herzegovina","Europe & Central Asia","Upper middle income","Any Data Available",0.52,49,50
"BIH",2020,"Bosnia and Herzegovina","Europe & Central Asia","Upper middle income","Tier 1",1,30,18
"BIH",2020,"Bosnia and Herzegovina","Europe & Central Asia","Upper middle income","Tier 2",0.156,19,32
"BIH",2020,"Bosnia and Herzegovina","Europe & Central Asia","Upper middle income","1",0.333,6,6
"BIH",2020,"Bosnia and Herzegovina","Europe & Central Asia","Upper middle income","10",0,1,1
"BIH",2020,"Bosnia and Herzegovina","Europe & Central Asia","Upper middle income","11",0,3,3
"BIH",2020,"Bosnia and Herzegovina","Europe & Central Asia","Upper middle income","16",0.429,7,7
"BIH",2020,"Bosnia and Herzegovina","Europe & Central Asia","Upper middle income","2",0,2,2
"BIH",2020,"Bosnia and Herzegovina","Europe & Central Asia","Upper middle income","3",0.8,5,5
