Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Age],[Disability status],[Nature],[Observation Status],[Reporting Type],[Sex],[Units]
"8","8.5","8.5.2","SL_TLF_UEMDIS_19ICLS","Unemployment rate, by sex and disability - 19th ICLS (%)","4","Afghanistan","2021","19.29","2021","","","","","LFS - Labour Force Survey","","Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter | Employment definition: Excluding own-use production workers | Unemployment definition: Two criteria (not in employment and seeking)","15+","_T","C","A","G","FEMALE","PERCENT"
"8","8.5","8.5.2","SL_TLF_UEMDIS_19ICLS","Unemployment rate, by sex and disability - 19th ICLS (%)","40","Austria","2006","24.82","2006","","","","","HIES - EU Statistics on Income and Living Conditions","","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old | T5 | 4118","15+","PD","C","A","G","FEMALE","PERCENT"
"8","8.5","8.5.2","SL_TLF_UEMDIS_19ICLS","Unemployment rate, by sex and disability - 19th ICLS (%)","40","Austria","2006","6.61","2006","","","","","HIES - EU Statistics on Income and Living Conditions","","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old | T5 | 4118","15+","PWD","C","A","G","MALE","PERCENT"
"8","8.5","8.5.2","SL_TLF_UEMDIS_19ICLS","Unemployment rate, by sex and disability - 19th ICLS (%)","40","Austria","2006","30.28","2006","","","","","HIES - EU Statistics on Income and Living Conditions","","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old | T5 | 4118","15+","PD","C","A","G","MALE","PERCENT"
"8","8.5","8.5.2","SL_TLF_UEMDIS_19ICLS","Unemployment rate, by sex and disability - 19th ICLS (%)","40","Austria","2006","8.15","2006","","","","","HIES - EU Statistics on Income and Living Conditions","","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old | T5 | 4118","15+","PWD","C","A","G","FEMALE","PERCENT"
"8","8.5","8.5.2","SL_TLF_UEMDIS_19ICLS","Unemployment rate, by sex and disability - 19th ICLS (%)","40","Austria","2007","5.92","2007","","","","","HIES - EU Statistics on Income and Living Conditions","","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old | T5 | 4118","15+","PWD","C","A","G","MALE","PERCENT"
"8","8.5","8.5.2","SL_TLF_UEMDIS_19ICLS","Unemployment rate, by sex and disability - 19th ICLS (%)","40","Austria","2007","33.71","2007","","","","","HIES - EU Statistics on Income and Living Conditions","","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old | T5 | 4118","15+","PD","C","A","G","MALE","PERCENT"
"8","8.5","8.5.2","SL_TLF_UEMDIS_19ICLS","Unemployment rate, by sex and disability - 19th ICLS (%)","40","Austria","2007","25.41","2007","","","","","HIES - EU Statistics on Income and Living Conditions","","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old | T5 | 4118","15+","PD","C","A","G","FEMALE","PERCENT"
"8","8.5","8.5.2","SL_TLF_UEMDIS_19ICLS","Unemployment rate, by sex and disability - 19th ICLS (%)","40","Austria","2007","8.07","2007","","","","","HIES - EU Statistics on Income and Living Conditions","","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old | T5 | 4118","15+","PWD","C","A","G","FEMALE","PERCENT"
"8","8.5","8.5.2","SL_TLF_UEMDIS_19ICLS","Unemployment rate, by sex and disability - 19th ICLS (%)","40","Austria","2007","7.15","2007","","","","","HIES - EU Statistics on Income and Living Conditions","","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old | T5 | 4118","15+","_T","C","A","G","MALE","PERCENT"
"8","8.5","8.5.2","SL_TLF_UEMDIS_19ICLS","Unemployment rate, by sex and disability - 19th ICLS (%)","40","Austria","2007","8.74","2007","","","","","HIES - EU Statistics on Income and Living Conditions","","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old | T5 | 4118","15+","_T","C","A","G","FEMALE","PERCENT"
"8","8.5","8.5.2","SL_TLF_UEMDIS_19ICLS","Unemployment rate, by sex and disability - 19th ICLS (%)","40","Austria","2007","6.85","2007","","","","","HIES - EU Statistics on Income and Living Conditions","","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old | T5 | 4118","15+","PWD","C","A","G","BOTHSEX","PERCENT"
"8","8.5","8.5.2","SL_TLF_UEMDIS_19ICLS","Unemployment rate, by sex and disability - 19th ICLS (%)","40","Austria","2007","7.84","2007","","","","","HIES - EU Statistics on Income and Living Conditions","","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old | T5 | 4118","15+","_T","C","A","G","BOTHSEX","PERCENT"
"8","8.5","8.5.2","SL_TLF_UEMDIS_19ICLS","Unemployment rate, by sex and disability - 19th ICLS (%)","40","Austria","2007","30.39","2007","","","","","HIES - EU Statistics on Income and Living Conditions","","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old | T5 | 4118","15+","PD","C","A","G","BOTHSEX","PERCENT"
"8","8.5","8.5.2","SL_TLF_UEMDIS_19ICLS","Unemployment rate, by sex and disability - 19th ICLS (%)","40","Austria","2008","33.2","2008","","","","","HIES - EU Statistics on Income and Living Conditions","","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old | T5 | 4118","15+","PD","C","A","G","BOTHSEX","PERCENT"
"8","8.5","8.5.2","SL_TLF_UEMDIS_19ICLS","Unemployment rate, by sex and disability - 19th ICLS (%)","40","Austria","2008","6.1","2008","","","","","HIES - EU Statistics on Income and Living Conditions","","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old | T5 | 4118","15+","_T","C","A","G","BOTHSEX","PERCENT"
"8","8.5","8.5.2","SL_TLF_UEMDIS_19ICLS","Unemployment rate, by sex and disability - 19th ICLS (%)","40","Austria","2008","5.03","2008","","","","","HIES - EU Statistics on Income and Living Conditions","","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old | T5 | 4118","15+","PWD","C","A","G","BOTHSEX","PERCENT"
"8","8.5","8.5.2","SL_TLF_UEMDIS_19ICLS","Unemployment rate, by sex and disability - 19th ICLS (%)","40","Austria","2008","6.55","2008","","","","","HIES - EU Statistics on Income and Living Conditions","","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old | T5 | 4118","15+","_T","C","A","G","FEMALE","PERCENT"
"8","8.5","8.5.2","SL_TLF_UEMDIS_19ICLS","Unemployment rate, by sex and disability - 19th ICLS (%)","40","Austria","2008","5.75","2008","","","","","HIES - EU Statistics on Income and Living Conditions","","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old | T5 | 4118","15+","_T","C","A","G","MALE","PERCENT"
"8","8.5","8.5.2","SL_TLF_UEMDIS_19ICLS","Unemployment rate, by sex and disability - 19th ICLS (%)","40","Austria","2008","5.87","2008","","","","","HIES - EU Statistics on Income and Living Conditions","","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old | T5 | 4118","15+","PWD","C","A","G","FEMALE","PERCENT"
"8","8.5","8.5.2","SL_TLF_UEMDIS_19ICLS","Unemployment rate, by sex and disability - 19th ICLS (%)","40","Austria","2008","24.3","2008","","","","","HIES - EU Statistics on Income and Living Conditions","","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old | T5 | 4118","15+","PD","C","A","G","FEMALE","PERCENT"
"8","8.5","8.5.2","SL_TLF_UEMDIS_19ICLS","Unemployment rate, by sex and disability - 19th ICLS (%)","40","Austria","2008","39.69","2008","","","","","HIES - EU Statistics on Income and Living Conditions","","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old | T5 | 4118","15+","PD","C","A","G","MALE","PERCENT"
"8","8.5","8.5.2","SL_TLF_UEMDIS_19ICLS","Unemployment rate, by sex and disability - 19th ICLS (%)","40","Austria","2008","4.38","2008","","","","","HIES - EU Statistics on Income and Living Conditions","","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old | T5 | 4118","15+","PWD","C","A","G","MALE","PERCENT"
"8","8.5","8.5.2","SL_TLF_UEMDIS_19ICLS","Unemployment rate, by sex and disability - 19th ICLS (%)","40","Austria","2009","7.92","2009","","","","","HIES - EU Statistics on Income and Living Conditions","","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old | T5 | 4118","15+","PWD","C","A","G","MALE","PERCENT"
"8","8.5","8.5.2","SL_TLF_UEMDIS_19ICLS","Unemployment rate, by sex and disability - 19th ICLS (%)","40","Austria","2009","42.44","2009","","","","","HIES - EU Statistics on Income and Living Conditions","","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old | T5 | 4118","15+","PD","C","A","G","MALE","PERCENT"
"8","8.5","8.5.2","SL_TLF_UEMDIS_19ICLS","Unemployment rate, by sex and disability - 19th ICLS (%)","40","Austria","2009","36.78","2009","","","","","HIES - EU Statistics on Income and Living Conditions","","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old | T5 | 4118","15+","PD","C","A","G","FEMALE","PERCENT"
"8","8.5","8.5.2","SL_TLF_UEMDIS_19ICLS","Unemployment rate, by sex and disability - 19th ICLS (%)","40","Austria","2009","9.1","2009","","","","","HIES - EU Statistics on Income and Living Conditions","","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old | T5 | 4118","15+","_T","C","A","G","MALE","PERCENT"
"8","8.5","8.5.2","SL_TLF_UEMDIS_19ICLS","Unemployment rate, by sex and disability - 19th ICLS (%)","40","Austria","2009","7.4","2009","","","","","HIES - EU Statistics on Income and Living Conditions","","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old | T5 | 4118","15+","PWD","C","A","G","FEMALE","PERCENT"
"8","8.5","8.5.2","SL_TLF_UEMDIS_19ICLS","Unemployment rate, by sex and disability - 19th ICLS (%)","40","Austria","2009","8.44","2009","","","","","HIES - EU Statistics on Income and Living Conditions","","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old | T5 | 4118","15+","_T","C","A","G","FEMALE","PERCENT"
"8","8.5","8.5.2","SL_TLF_UEMDIS_19ICLS","Unemployment rate, by sex and disability - 19th ICLS (%)","40","Austria","2009","7.69","2009","","","","","HIES - EU Statistics on Income and Living Conditions","","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old | T5 | 4118","15+","PWD","C","A","G","BOTHSEX","PERCENT"
"8","8.5","8.5.2","SL_TLF_UEMDIS_19ICLS","Unemployment rate, by sex and disability - 19th ICLS (%)","40","Austria","2009","8.81","2009","","","","","HIES - EU Statistics on Income and Living Conditions","","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old | T5 | 4118","15+","_T","C","A","G","BOTHSEX","PERCENT"
"8","8.5","8.5.2","SL_TLF_UEMDIS_19ICLS","Unemployment rate, by sex and disability - 19th ICLS (%)","40","Austria","2009","39.87","2009","","","","","HIES - EU Statistics on Income and Living Conditions","","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old | T5 | 4118","15+","PD","C","A","G","BOTHSEX","PERCENT"
"8","8.5","8.5.2","SL_TLF_UEMDIS_19ICLS","Unemployment rate, by sex and disability - 19th ICLS (%)","40","Austria","2010","28.47","2010","","","","","HIES - EU Statistics on Income and Living Conditions","","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old | T5 | 4118","15+","PD","C","A","G","BOTHSEX","PERCENT"
"8","8.5","8.5.2","SL_TLF_UEMDIS_19ICLS","Unemployment rate, by sex and disability - 19th ICLS (%)","40","Austria","2010","7.72","2010","","","","","HIES - EU Statistics on Income and Living Conditions","","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old | T5 | 4118","15+","_T","C","A","G","BOTHSEX","PERCENT"
"8","8.5","8.5.2","SL_TLF_UEMDIS_19ICLS","Unemployment rate, by sex and disability - 19th ICLS (%)","40","Austria","2010","7.06","2010","","","","","HIES - EU Statistics on Income and Living Conditions","","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old | T5 | 4118","15+","PWD","C","A","G","BOTHSEX","PERCENT"
"8","8.5","8.5.2","SL_TLF_UEMDIS_19ICLS","Unemployment rate, by sex and disability - 19th ICLS (%)","40","Austria","2010","7.4","2010","","","","","HIES - EU Statistics on Income and Living Conditions","","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old | T5 | 4118","15+","_T","C","A","G","FEMALE","PERCENT"
"8","8.5","8.5.2","SL_TLF_UEMDIS_19ICLS","Unemployment rate, by sex and disability - 19th ICLS (%)","40","Austria","2010","6.59","2010","","","","","HIES - EU Statistics on Income and Living Conditions","","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old | T5 | 4118","15+","PWD","C","A","G","FEMALE","PERCENT"
"8","8.5","8.5.2","SL_TLF_UEMDIS_19ICLS","Unemployment rate, by sex and disability - 19th ICLS (%)","40","Austria","2010","7.98","2010","","","","","HIES - EU Statistics on Income and Living Conditions","","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old | T5 | 4118","15+","_T","C","A","G","MALE","PERCENT"
"8","8.5","8.5.2","SL_TLF_UEMDIS_19ICLS","Unemployment rate, by sex and disability - 19th ICLS (%)","40","Austria","2010","28.86","2010","","","","","HIES - EU Statistics on Income and Living Conditions","","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old | T5 | 4118","15+","PD","C","A","G","FEMALE","PERCENT"
"8","8.5","8.5.2","SL_TLF_UEMDIS_19ICLS","Unemployment rate, by sex and disability - 19th ICLS (%)","40","Austria","2010","7.43","2010","","","","","HIES - EU Statistics on Income and Living Conditions","","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old | T5 | 4118","15+","PWD","C","A","G","MALE","PERCENT"
"8","8.5","8.5.2","SL_TLF_UEMDIS_19ICLS","Unemployment rate, by sex and disability - 19th ICLS (%)","40","Austria","2010","28.07","2010","","","","","HIES - EU Statistics on Income and Living Conditions","","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old | T5 | 4118","15+","PD","C","A","G","MALE","PERCENT"
"8","8.5","8.5.2","SL_TLF_UEMDIS_19ICLS","Unemployment rate, by sex and disability - 19th ICLS (%)","40","Austria","2011","33.17","2011","","","","","HIES - EU Statistics on Income and Living Conditions","","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old | T5 | 4118","15+","PD","C","A","G","MALE","PERCENT"
"8","8.5","8.5.2","SL_TLF_UEMDIS_19ICLS","Unemployment rate, by sex and disability - 19th ICLS (%)","40","Austria","2011","8.46","2011","","","","","HIES - EU Statistics on Income and Living Conditions","","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old | T5 | 4118","15+","PWD","C","A","G","MALE","PERCENT"
"8","8.5","8.5.2","SL_TLF_UEMDIS_19ICLS","Unemployment rate, by sex and disability - 19th ICLS (%)","40","Austria","2011","29.19","2011","","","","","HIES - EU Statistics on Income and Living Conditions","","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old | T5 | 4118","15+","PD","C","A","G","FEMALE","PERCENT"
"8","8.5","8.5.2","SL_TLF_UEMDIS_19ICLS","Unemployment rate, by sex and disability - 19th ICLS (%)","40","Austria","2011","9.31","2011","","","","","HIES - EU Statistics on Income and Living Conditions","","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old | T5 | 4118","15+","_T","C","A","G","MALE","PERCENT"
"8","8.5","8.5.2","SL_TLF_UEMDIS_19ICLS","Unemployment rate, by sex and disability - 19th ICLS (%)","40","Austria","2011","6.97","2011","","","","","HIES - EU Statistics on Income and Living Conditions","","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old | T5 | 4118","15+","PWD","C","A","G","FEMALE","PERCENT"
