Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Age],[Nature],[Reporting Type],[Units]
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","152","Chile","2010","1.05196","2010","","","","","CHL - LFS - National Employment Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.","","","15-24","E","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","152","Chile","2011","0.94448","2011","","","","","CHL - LFS - National Employment Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.","","","15-64","E","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","152","Chile","2011","1.03177","2011","","","","","CHL - LFS - National Employment Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.","","","15-24","E","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","152","Chile","2011","1.09544","2011","","","","","CHL - LFS - National Employment Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.","","","25-54","E","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","152","Chile","2012","0.92386","2012","","","","","CHL - LFS - National Employment Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.","","","15-64","E","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","152","Chile","2012","1.12139","2012","","","","","CHL - LFS - National Employment Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.","","","25-54","E","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","152","Chile","2012","1.02069","2012","","","","","CHL - LFS - National Employment Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.","","","15-24","E","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","152","Chile","2013","1.02848","2013","","","","","CHL - LFS - National Employment Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.","","","15-24","E","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","152","Chile","2013","1.03912","2013","","","","","CHL - LFS - National Employment Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.","","","25-54","E","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","152","Chile","2013","0.95088","2013","","","","","CHL - LFS - National Employment Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.","","","15-64","E","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","152","Chile","2014","1.01961","2014","","","","","CHL - LFS - National Employment Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.","","","15-24","E","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","152","Chile","2014","0.91773","2014","","","","","CHL - LFS - National Employment Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.","","","15-64","E","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","152","Chile","2014","1.07439","2014","","","","","CHL - LFS - National Employment Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.","","","25-54","E","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","152","Chile","2015","1.04887","2015","","","","","CHL - LFS - National Employment Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.","","","15-24","E","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","152","Chile","2015","1.13253","2015","","","","","CHL - LFS - National Employment Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.","","","25-54","E","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","152","Chile","2015","0.93277","2015","","","","","CHL - LFS - National Employment Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.","","","15-64","E","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","152","Chile","2016","0.93908","2016","","","","","CHL - LFS - National Employment Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.","","","15-64","E","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","152","Chile","2016","1.17641","2016","","","","","CHL - LFS - National Employment Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.","","","25-54","E","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","152","Chile","2016","1.04404","2016","","","","","CHL - LFS - National Employment Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.","","","15-24","E","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","152","Chile","2016","1.48767","2016","","","","","CHL - LFS - National Employment Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Unreliable - Low reliability Data extracted on 21 February 2024.","","","55-64","E","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","152","Chile","2017","1.15452","2017","","","","","CHL - LFS - National Employment Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.","","","25-54","E","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","152","Chile","2017","0.92643","2017","","","","","CHL - LFS - National Employment Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.","","","15-64","E","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","152","Chile","2017","1.02847","2017","","","","","CHL - LFS - National Employment Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.","","","15-24","E","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","152","Chile","2018","0.89079","2018","","","","","CHL - LFS - National Employment Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.","","","15-64","E","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","152","Chile","2018","1.16253","2018","","","","","CHL - LFS - National Employment Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.","","","25-54","E","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","152","Chile","2018","1.01035","2018","","","","","CHL - LFS - National Employment Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.","","","15-24","E","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","152","Chile","2019","0.97775","2019","","","","","CHL - LFS - National Employment Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.","","","15-24","E","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","152","Chile","2019","0.98683","2019","","","","","CHL - LFS - National Employment Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.","","","25-54","E","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","442","Luxembourg","2012","1.0343","2012","","","","","LUX - LFS - EU Labour Force Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.","","","15-64","E","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","442","Luxembourg","2013","0.82475","2013","","","","","LUX - LFS - EU Labour Force Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.","","","55-64","E","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","442","Luxembourg","2013","1.08702","2013","","","","","LUX - LFS - EU Labour Force Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.","","","25-54","E","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","442","Luxembourg","2013","1.06686","2013","","","","","LUX - LFS - EU Labour Force Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.","","","15-64","E","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","442","Luxembourg","2013","1.06835","2013","","","","","LUX - LFS - EU Labour Force Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.","","","15-24","E","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","442","Luxembourg","2014","0.97683","2014","","","","","LUX - LFS - EU Labour Force Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.","","","55-64","E","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","442","Luxembourg","2014","1.0585","2014","","","","","LUX - LFS - EU Labour Force Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.","","","15-24","E","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","442","Luxembourg","2014","1.06172","2014","","","","","LUX - LFS - EU Labour Force Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.","","","15-64","E","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","152","Chile","2019","0.87538","2019","","","","","CHL - LFS - National Employment Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.","","","15-64","E","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","152","Chile","2020","0.8652","2020","","","","","CHL - LFS - National Employment Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.","","","25-54","E","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","152","Chile","2020","1.05947","2020","","","","","CHL - LFS - National Employment Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.","","","15-24","E","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","152","Chile","2020","1.01039","2020","","","","","CHL - LFS - National Employment Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.","","","15-64","E","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","170","Colombia","2010","1.10955","2010","","","","","COL - LFS - Integrated Household Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.","","","25-54","E","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","170","Colombia","2010","0.99728","2010","","","","","COL - LFS - Integrated Household Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.","","","15-24","E","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","170","Colombia","2010","0.95074","2010","","","","","COL - LFS - Integrated Household Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.","","","55-64","E","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","170","Colombia","2010","0.96844","2010","","","","","COL - LFS - Integrated Household Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.","","","15-64","E","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","4","Afghanistan","2014","0.48124","2014","","","","","AFG - HIES - Households Living Conditions Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.","","","15-24","E","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","4","Afghanistan","2014","0.46888","2014","","","","","AFG - HIES - Households Living Conditions Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.","","","15-64","E","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","4","Afghanistan","2017","0.43574","2017","","","","","AFG - HIES - Households Living Conditions Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.","","","15-64","E","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","4","Afghanistan","2017","0.44377","2017","","","","","AFG - HIES - Households Living Conditions Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.","","","15-24","E","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","4","Afghanistan","2017","0.4392","2017","","","","","AFG - HIES - Households Living Conditions Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.","","","25-54","E","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","4","Afghanistan","2020","0.41393","2020","","","","","AFG - LFS - Labour Force Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.","","","25-54","E","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","4","Afghanistan","2020","0.56129","2020","","","","","AFG - LFS - Labour Force Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.","","","15-24","E","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","4","Afghanistan","2020","0.57412","2020","","","","","AFG - LFS - Labour Force Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.","","","15-64","E","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","8","Albania","2010","1.03343","2010","","","","","ALB - LFS - Labour Force Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.","","","15-24","E","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","8","Albania","2010","0.13625","2010","","","","","ALB - LFS - Labour Force Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Unreliable - Low reliability Data extracted on 21 February 2024.","","","55-64","E","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","8","Albania","2010","0.9466","2010","","","","","ALB - LFS - Labour Force Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.","","","15-64","E","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","8","Albania","2010","1.01391","2010","","","","","ALB - LFS - Labour Force Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.","","","25-54","E","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","8","Albania","2011","1.03598","2011","","","","","ALB - LFS - Labour Force Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.","","","25-54","E","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","8","Albania","2011","0.99206","2011","","","","","ALB - LFS - Labour Force Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.","","","15-64","E","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","8","Albania","2011","1.05462","2011","","","","","ALB - LFS - Labour Force Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.","","","15-24","E","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","8","Albania","2012","0.54382","2012","","","","","ALB - LFS - Labour Force Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.","","","25-54","E","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","8","Albania","2012","1.07704","2012","","","","","ALB - LFS - Labour Force Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.","","","15-24","E","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","8","Albania","2012","0.88201","2012","","","","","ALB - LFS - Labour Force Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.","","","15-64","E","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","8","Albania","2013","0.76765","2013","","","","","ALB - LFS - Labour Force Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.","","","25-54","E","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","8","Albania","2013","1.09481","2013","","","","","ALB - LFS - Labour Force Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.","","","15-64","E","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","8","Albania","2013","1.12965","2013","","","","","ALB - LFS - Labour Force Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.","","","15-24","E","G","Ratio"
