"iso3c","country","region","income","goal","ind_quality","ind_number","date"
"ARG","Argentina","Latin America & Caribbean ","Upper middle income",1,0.6,5,2023
"ARG","Argentina","Latin America & Caribbean ","Upper middle income",2,0.5,2,2023
"ARG","Argentina","Latin America & Caribbean ","Upper middle income",3,1,5,2023
"ARG","Argentina","Latin America & Caribbean ","Upper middle income",4,0.833,6,2023
"ARG","Argentina","Latin America & Caribbean ","Upper middle income",5,0.462,13,2023
"ARG","Argentina","Latin America & Caribbean ","Upper middle income",8,0.833,6,2023
"ARG","Argentina","Latin America & Caribbean ","Upper middle income",10,1,1,2023
"ARG","Argentina","Latin America & Caribbean ","Upper middle income",16,0.6,5,2023
"ARG","Argentina","Latin America & Caribbean ","Upper middle income",NA,0,1,2023
"ARM","Armenia","Europe & Central Asia","Upper middle income",1,0.8,5,2023
"ARM","Armenia","Europe & Central Asia","Upper middle income",2,0.5,2,2023
"ARM","Armenia","Europe & Central Asia","Upper middle income",3,0.6,5,2023
"ARM","Armenia","Europe & Central Asia","Upper middle income",4,0.667,6,2023
"ARM","Armenia","Europe & Central Asia","Upper middle income",5,0.385,13,2023
"ARM","Armenia","Europe & Central Asia","Upper middle income",8,0.833,6,2023
"ARM","Armenia","Europe & Central Asia","Upper middle income",10,1,1,2023
"ARM","Armenia","Europe & Central Asia","Upper middle income",16,0.533,5,2023
"ARM","Armenia","Europe & Central Asia","Upper middle income",NA,0,1,2023
"ASM","American Samoa","East Asia & Pacific","High income",1,0,5,2023
"ASM","American Samoa","East Asia & Pacific","High income",2,0,2,2023
"ASM","American Samoa","East Asia & Pacific","High income",3,0.2,5,2023
"ASM","American Samoa","East Asia & Pacific","High income",4,0,6,2023
"ASM","American Samoa","East Asia & Pacific","High income",5,0.077,13,2023
"ASM","American Samoa","East Asia & Pacific","High income",8,0,6,2023
"ASM","American Samoa","East Asia & Pacific","High income",10,0,1,2023
"ASM","American Samoa","East Asia & Pacific","High income",16,0.2,5,2023
"ASM","American Samoa","East Asia & Pacific","High income",NA,0,1,2023
"ATG","Antigua and Barbuda","Latin America & Caribbean ","High income",1,0.2,5,2023
"ATG","Antigua and Barbuda","Latin America & Caribbean ","High income",2,0,2,2023
"ATG","Antigua and Barbuda","Latin America & Caribbean ","High income",3,0.6,5,2023
"ATG","Antigua and Barbuda","Latin America & Caribbean ","High income",4,0.167,6,2023
"ATG","Antigua and Barbuda","Latin America & Caribbean ","High income",5,0.154,13,2023
"ATG","Antigua and Barbuda","Latin America & Caribbean ","High income",8,0.167,6,2023
"ATG","Antigua and Barbuda","Latin America & Caribbean ","High income",10,0,1,2023
"ATG","Antigua and Barbuda","Latin America & Caribbean ","High income",16,0.4,5,2023
"ATG","Antigua and Barbuda","Latin America & Caribbean ","High income",NA,0,1,2023
"AUS","Australia","East Asia & Pacific","High income",1,0.2,5,2023
"AUS","Australia","East Asia & Pacific","High income",2,0.5,2,2023
"AUS","Australia","East Asia & Pacific","High income",3,0.8,5,2023
"AUS","Australia","East Asia & Pacific","High income",4,0.667,6,2023
"AUS","Australia","East Asia & Pacific","High income",5,0.308,13,2023
"AUS","Australia","East Asia & Pacific","High income",8,0.5,6,2023
"AUS","Australia","East Asia & Pacific","High income",10,0,1,2023
"AUS","Australia","East Asia & Pacific","High income",16,0.778,5,2023
"AUS","Australia","East Asia & Pacific","High income",NA,0,1,2023
"AUT","Austria","Europe & Central Asia","High income",1,0.8,5,2023
"AUT","Austria","Europe & Central Asia","High income",2,0,2,2023
"AUT","Austria","Europe & Central Asia","High income",3,0.6,5,2023
"AUT","Austria","Europe & Central Asia","High income",4,0.667,6,2023
"AUT","Austria","Europe & Central Asia","High income",5,0.308,13,2023
"AUT","Austria","Europe & Central Asia","High income",8,0.667,6,2023
"AUT","Austria","Europe & Central Asia","High income",10,1,1,2023
"AUT","Austria","Europe & Central Asia","High income",16,0.8,5,2023
"AUT","Austria","Europe & Central Asia","High income",NA,0,1,2023
"AZE","Azerbaijan","Europe & Central Asia","Upper middle income",1,0.2,5,2023
"AZE","Azerbaijan","Europe & Central Asia","Upper middle income",2,0.5,2,2023
"AZE","Azerbaijan","Europe & Central Asia","Upper middle income",3,0.8,5,2023
"AZE","Azerbaijan","Europe & Central Asia","Upper middle income",4,0.5,6,2023
"AZE","Azerbaijan","Europe & Central Asia","Upper middle income",5,0.308,13,2023
"AZE","Azerbaijan","Europe & Central Asia","Upper middle income",8,0.5,6,2023
"AZE","Azerbaijan","Europe & Central Asia","Upper middle income",10,0,1,2023
"AZE","Azerbaijan","Europe & Central Asia","Upper middle income",16,0.6,5,2023
"AZE","Azerbaijan","Europe & Central Asia","Upper middle income",NA,0,1,2023
"BDI","Burundi","Sub-Saharan Africa ","Low income",1,0.4,5,2023
"BDI","Burundi","Sub-Saharan Africa ","Low income",2,0.5,2,2023
"BDI","Burundi","Sub-Saharan Africa ","Low income",3,0.6,5,2023
"BDI","Burundi","Sub-Saharan Africa ","Low income",4,0.667,6,2023
"BDI","Burundi","Sub-Saharan Africa ","Low income",5,0.231,13,2023
"BDI","Burundi","Sub-Saharan Africa ","Low income",8,0.5,6,2023
"BDI","Burundi","Sub-Saharan Africa ","Low income",10,1,1,2023
"BDI","Burundi","Sub-Saharan Africa ","Low income",16,0.2,5,2023
"BDI","Burundi","Sub-Saharan Africa ","Low income",NA,0,1,2023
"BEL","Belgium","Europe & Central Asia","High income",1,0.8,5,2023
"BEL","Belgium","Europe & Central Asia","High income",2,0.5,2,2023
"BEL","Belgium","Europe & Central Asia","High income",3,0.6,5,2023
"BEL","Belgium","Europe & Central Asia","High income",4,0.667,6,2023
"BEL","Belgium","Europe & Central Asia","High income",5,0.308,13,2023
"BEL","Belgium","Europe & Central Asia","High income",8,0.667,6,2023
"BEL","Belgium","Europe & Central Asia","High income",10,1,1,2023
"BEL","Belgium","Europe & Central Asia","High income",16,0.578,5,2023
"BEL","Belgium","Europe & Central Asia","High income",NA,0,1,2023
"BEN","Benin","Sub-Saharan Africa ","Lower middle income",1,0.4,5,2023
"BEN","Benin","Sub-Saharan Africa ","Lower middle income",2,1,2,2023
"BEN","Benin","Sub-Saharan Africa ","Lower middle income",3,0.8,5,2023
"BEN","Benin","Sub-Saharan Africa ","Lower middle income",4,0.5,6,2023
"BEN","Benin","Sub-Saharan Africa ","Lower middle income",5,0.462,13,2023
"BEN","Benin","Sub-Saharan Africa ","Lower middle income",8,0.333,6,2023
"BEN","Benin","Sub-Saharan Africa ","Lower middle income",10,1,1,2023
"BEN","Benin","Sub-Saharan Africa ","Lower middle income",16,0.4,5,2023
"BEN","Benin","Sub-Saharan Africa ","Lower middle income",NA,0,1,2023
"BFA","Burkina Faso","Sub-Saharan Africa ","Low income",1,0.6,5,2023
"BFA","Burkina Faso","Sub-Saharan Africa ","Low income",2,1,2,2023
"BFA","Burkina Faso","Sub-Saharan Africa ","Low income",3,1,5,2023
"BFA","Burkina Faso","Sub-Saharan Africa ","Low income",4,0.5,6,2023
"BFA","Burkina Faso","Sub-Saharan Africa ","Low income",5,0.462,13,2023
"BFA","Burkina Faso","Sub-Saharan Africa ","Low income",8,0.333,6,2023
"BFA","Burkina Faso","Sub-Saharan Africa ","Low income",10,1,1,2023
"BFA","Burkina Faso","Sub-Saharan Africa ","Low income",16,0.6,5,2023
"BFA","Burkina Faso","Sub-Saharan Africa ","Low income",NA,0,1,2023
"BGD","Bangladesh","South Asia","Lower middle income",1,0.6,5,2023
"BGD","Bangladesh","South Asia","Lower middle income",2,0.5,2,2023
"BGD","Bangladesh","South Asia","Lower middle income",3,1,5,2023
"BGD","Bangladesh","South Asia","Lower middle income",4,0.5,6,2023
"BGD","Bangladesh","South Asia","Lower middle income",5,0.308,13,2023
"BGD","Bangladesh","South Asia","Lower middle income",8,0.667,6,2023
"BGD","Bangladesh","South Asia","Lower middle income",10,1,1,2023
"BGD","Bangladesh","South Asia","Lower middle income",16,0.4,5,2023
"BGD","Bangladesh","South Asia","Lower middle income",NA,0,1,2023
"BGR","Bulgaria","Europe & Central Asia","Upper middle income",1,0.8,5,2023
"BGR","Bulgaria","Europe & Central Asia","Upper middle income",2,0,2,2023
"BGR","Bulgaria","Europe & Central Asia","Upper middle income",3,0.8,5,2023
"BGR","Bulgaria","Europe & Central Asia","Upper middle income",4,0.667,6,2023
"BGR","Bulgaria","Europe & Central Asia","Upper middle income",5,0.308,13,2023
"BGR","Bulgaria","Europe & Central Asia","Upper middle income",8,0.667,6,2023
"BGR","Bulgaria","Europe & Central Asia","Upper middle income",10,1,1,2023
"BGR","Bulgaria","Europe & Central Asia","Upper middle income",16,0.578,5,2023
"BGR","Bulgaria","Europe & Central Asia","Upper middle income",NA,0,1,2023
"BHR","Bahrain","Middle East & North Africa","High income",1,0.2,5,2023
"BHR","Bahrain","Middle East & North Africa","High income",2,0.5,2,2023
"BHR","Bahrain","Middle East & North Africa","High income",3,0.6,5,2023
"BHR","Bahrain","Middle East & North Africa","High income",4,0.5,6,2023
"BHR","Bahrain","Middle East & North Africa","High income",5,0.231,13,2023
"BHR","Bahrain","Middle East & North Africa","High income",8,0.333,6,2023
"BHR","Bahrain","Middle East & North Africa","High income",10,0,1,2023
"BHR","Bahrain","Middle East & North Africa","High income",16,0.5,5,2023
"BHR","Bahrain","Middle East & North Africa","High income",NA,0,1,2023
"BHS","Bahamas, The","Latin America & Caribbean ","High income",1,0.2,5,2023
"BHS","Bahamas, The","Latin America & Caribbean ","High income",2,0,2,2023
"BHS","Bahamas, The","Latin America & Caribbean ","High income",3,0.6,5,2023
"BHS","Bahamas, The","Latin America & Caribbean ","High income",4,0.333,6,2023
"BHS","Bahamas, The","Latin America & Caribbean ","High income",5,0.077,13,2023
"BHS","Bahamas, The","Latin America & Caribbean ","High income",8,0.167,6,2023
"BHS","Bahamas, The","Latin America & Caribbean ","High income",10,0,1,2023
"BHS","Bahamas, The","Latin America & Caribbean ","High income",16,0.489,5,2023
"BHS","Bahamas, The","Latin America & Caribbean ","High income",NA,0,1,2023
"BIH","Bosnia and Herzegovina","Europe & Central Asia","Upper middle income",1,0.2,5,2023
"BIH","Bosnia and Herzegovina","Europe & Central Asia","Upper middle income",2,0,2,2023
"BIH","Bosnia and Herzegovina","Europe & Central Asia","Upper middle income",3,0.6,5,2023
"BIH","Bosnia and Herzegovina","Europe & Central Asia","Upper middle income",4,0.667,6,2023
"BIH","Bosnia and Herzegovina","Europe & Central Asia","Upper middle income",5,0.462,13,2023
"BIH","Bosnia and Herzegovina","Europe & Central Asia","Upper middle income",8,0.667,6,2023
"BIH","Bosnia and Herzegovina","Europe & Central Asia","Upper middle income",10,0,1,2023
"BIH","Bosnia and Herzegovina","Europe & Central Asia","Upper middle income",16,0.6,5,2023
"BIH","Bosnia and Herzegovina","Europe & Central Asia","Upper middle income",NA,0,1,2023
"BLR","Belarus","Europe & Central Asia","Upper middle income",1,0.6,5,2023
"BLR","Belarus","Europe & Central Asia","Upper middle income",2,0,2,2023
"BLR","Belarus","Europe & Central Asia","Upper middle income",3,0.8,5,2023
"BLR","Belarus","Europe & Central Asia","Upper middle income",4,0.667,6,2023
"BLR","Belarus","Europe & Central Asia","Upper middle income",5,0.538,13,2023
"BLR","Belarus","Europe & Central Asia","Upper middle income",8,0.833,6,2023
"BLR","Belarus","Europe & Central Asia","Upper middle income",10,1,1,2023
"BLR","Belarus","Europe & Central Asia","Upper middle income",16,0.6,5,2023
"BLR","Belarus","Europe & Central Asia","Upper middle income",NA,0,1,2023
"BLZ","Belize","Latin America & Caribbean ","Upper middle income",1,0.4,5,2023
"BLZ","Belize","Latin America & Caribbean ","Upper middle income",2,0.5,2,2023
"BLZ","Belize","Latin America & Caribbean ","Upper middle income",3,0.8,5,2023
"BLZ","Belize","Latin America & Caribbean ","Upper middle income",4,0.5,6,2023
"BLZ","Belize","Latin America & Caribbean ","Upper middle income",5,0.308,13,2023
"BLZ","Belize","Latin America & Caribbean ","Upper middle income",8,0.667,6,2023
"BLZ","Belize","Latin America & Caribbean ","Upper middle income",10,0,1,2023
"BLZ","Belize","Latin America & Caribbean ","Upper middle income",16,0.444,5,2023
"BLZ","Belize","Latin America & Caribbean ","Upper middle income",NA,0,1,2023
"BMU","Bermuda","North America","High income",1,0.2,5,2023
"BMU","Bermuda","North America","High income",2,0,2,2023
"BMU","Bermuda","North America","High income",3,0.4,5,2023
"BMU","Bermuda","North America","High income",4,0,6,2023
"BMU","Bermuda","North America","High income",5,0,13,2023
"BMU","Bermuda","North America","High income",8,0,6,2023
"BMU","Bermuda","North America","High income",10,0,1,2023
"BMU","Bermuda","North America","High income",16,0.2,5,2023
"BMU","Bermuda","North America","High income",NA,0,1,2023
"BOL","Bolivia","Latin America & Caribbean ","Lower middle income",1,0.6,5,2023
"BOL","Bolivia","Latin America & Caribbean ","Lower middle income",2,0.5,2,2023
"BOL","Bolivia","Latin America & Caribbean ","Lower middle income",3,0.6,5,2023
"BOL","Bolivia","Latin America & Caribbean ","Lower middle income",4,0.5,6,2023
"BOL","Bolivia","Latin America & Caribbean ","Lower middle income",5,0.462,13,2023
"BOL","Bolivia","Latin America & Caribbean ","Lower middle income",8,0.833,6,2023
"BOL","Bolivia","Latin America & Caribbean ","Lower middle income",10,1,1,2023
"BOL","Bolivia","Latin America & Caribbean ","Lower middle income",16,0.8,5,2023
"BOL","Bolivia","Latin America & Caribbean ","Lower middle income",NA,0,1,2023
"BRA","Brazil","Latin America & Caribbean ","Upper middle income",1,0.4,5,2023
"BRA","Brazil","Latin America & Caribbean ","Upper middle income",2,0.5,2,2023
"BRA","Brazil","Latin America & Caribbean ","Upper middle income",3,0.8,5,2023
"BRA","Brazil","Latin America & Caribbean ","Upper middle income",4,0.667,6,2023
"BRA","Brazil","Latin America & Caribbean ","Upper middle income",5,0.385,13,2023
"BRA","Brazil","Latin America & Caribbean ","Upper middle income",8,0.667,6,2023
"BRA","Brazil","Latin America & Caribbean ","Upper middle income",10,1,1,2023
"BRA","Brazil","Latin America & Caribbean ","Upper middle income",16,0.8,5,2023
"BRA","Brazil","Latin America & Caribbean ","Upper middle income",NA,0,1,2023
"BRB","Barbados","Latin America & Caribbean ","High income",1,0.2,5,2023
"BRB","Barbados","Latin America & Caribbean ","High income",2,0,2,2023
"BRB","Barbados","Latin America & Caribbean ","High income",3,0.6,5,2023
"BRB","Barbados","Latin America & Caribbean ","High income",4,0.333,6,2023
"BRB","Barbados","Latin America & Caribbean ","High income",5,0.308,13,2023
"BRB","Barbados","Latin America & Caribbean ","High income",8,0.333,6,2023
"BRB","Barbados","Latin America & Caribbean ","High income",10,0,1,2023
"BRB","Barbados","Latin America & Caribbean ","High income",16,0.4,5,2023
"BRB","Barbados","Latin America & Caribbean ","High income",NA,0,1,2023
"BRN","Brunei Darussalam","East Asia & Pacific","High income",1,0.2,5,2023
"BRN","Brunei Darussalam","East Asia & Pacific","High income",2,0.5,2,2023
"BRN","Brunei Darussalam","East Asia & Pacific","High income",3,0.6,5,2023
"BRN","Brunei Darussalam","East Asia & Pacific","High income",4,0.667,6,2023
"BRN","Brunei Darussalam","East Asia & Pacific","High income",5,0.308,13,2023
"BRN","Brunei Darussalam","East Asia & Pacific","High income",8,0.5,6,2023
"BRN","Brunei Darussalam","East Asia & Pacific","High income",10,0,1,2023
"BRN","Brunei Darussalam","East Asia & Pacific","High income",16,0.2,5,2023
"BRN","Brunei Darussalam","East Asia & Pacific","High income",NA,0,1,2023
"BTN","Bhutan","South Asia","Lower middle income",1,0.6,5,2023
"BTN","Bhutan","South Asia","Lower middle income",2,0.5,2,2023
"BTN","Bhutan","South Asia","Lower middle income",3,0.8,5,2023
"BTN","Bhutan","South Asia","Lower middle income",4,0.5,6,2023
"BTN","Bhutan","South Asia","Lower middle income",5,0.308,13,2023
"BTN","Bhutan","South Asia","Lower middle income",8,0.333,6,2023
"BTN","Bhutan","South Asia","Lower middle income",10,1,1,2023
"BTN","Bhutan","South Asia","Lower middle income",16,0.489,5,2023
"BTN","Bhutan","South Asia","Lower middle income",NA,0,1,2023
"BWA","Botswana","Sub-Saharan Africa ","Upper middle income",1,0.2,5,2023
"BWA","Botswana","Sub-Saharan Africa ","Upper middle income",2,0,2,2023
"BWA","Botswana","Sub-Saharan Africa ","Upper middle income",3,0.8,5,2023
"BWA","Botswana","Sub-Saharan Africa ","Upper middle income",4,0.333,6,2023
"BWA","Botswana","Sub-Saharan Africa ","Upper middle income",5,0.231,13,2023
"BWA","Botswana","Sub-Saharan Africa ","Upper middle income",8,0.667,6,2023
"BWA","Botswana","Sub-Saharan Africa ","Upper middle income",10,0,1,2023
"BWA","Botswana","Sub-Saharan Africa ","Upper middle income",16,0.6,5,2023
"BWA","Botswana","Sub-Saharan Africa ","Upper middle income",NA,0,1,2023
"CAF","Central African Republic","Sub-Saharan Africa ","Low income",1,0.6,5,2023
"CAF","Central African Republic","Sub-Saharan Africa ","Low income",2,0.5,2,2023
"CAF","Central African Republic","Sub-Saharan Africa ","Low income",3,0.8,5,2023
"CAF","Central African Republic","Sub-Saharan Africa ","Low income",4,0.333,6,2023
"CAF","Central African Republic","Sub-Saharan Africa ","Low income",5,0.385,13,2023
"CAF","Central African Republic","Sub-Saharan Africa ","Low income",8,0.333,6,2023
"CAF","Central African Republic","Sub-Saharan Africa ","Low income",10,1,1,2023
"CAF","Central African Republic","Sub-Saharan Africa ","Low income",16,0.2,5,2023
"CAF","Central African Republic","Sub-Saharan Africa ","Low income",NA,0,1,2023
"CAN","Canada","North America","High income",1,0.4,5,2023
"CAN","Canada","North America","High income",2,0.5,2,2023
"CAN","Canada","North America","High income",3,0.8,5,2023
"CAN","Canada","North America","High income",4,0.667,6,2023
"CAN","Canada","North America","High income",5,0.154,13,2023
"CAN","Canada","North America","High income",8,0.5,6,2023
"CAN","Canada","North America","High income",10,1,1,2023
"CAN","Canada","North America","High income",16,0.783,5,2023
"CAN","Canada","North America","High income",NA,0,1,2023
"CHE","Switzerland","Europe & Central Asia","High income",1,0.6,5,2023
"CHE","Switzerland","Europe & Central Asia","High income",2,0.5,2,2023
"CHE","Switzerland","Europe & Central Asia","High income",3,0.6,5,2023
"CHE","Switzerland","Europe & Central Asia","High income",4,0.667,6,2023
"CHE","Switzerland","Europe & Central Asia","High income",5,0.615,13,2023
"CHE","Switzerland","Europe & Central Asia","High income",8,0.833,6,2023
"CHE","Switzerland","Europe & Central Asia","High income",10,1,1,2023
"CHE","Switzerland","Europe & Central Asia","High income",16,0.733,5,2023
"CHE","Switzerland","Europe & Central Asia","High income",NA,0,1,2023
"CHL","Chile","Latin America & Caribbean ","High income",1,0.6,5,2023
"CHL","Chile","Latin America & Caribbean ","High income",2,0.5,2,2023
"CHL","Chile","Latin America & Caribbean ","High income",3,0.8,5,2023
"CHL","Chile","Latin America & Caribbean ","High income",4,0.667,6,2023
"CHL","Chile","Latin America & Caribbean ","High income",5,0.385,13,2023
"CHL","Chile","Latin America & Caribbean ","High income",8,0.667,6,2023
"CHL","Chile","Latin America & Caribbean ","High income",10,1,1,2023
"CHL","Chile","Latin America & Caribbean ","High income",16,0.733,5,2023
"CHL","Chile","Latin America & Caribbean ","High income",NA,0,1,2023
"CHN","China","East Asia & Pacific","Upper middle income",1,0.6,5,2023
"CHN","China","East Asia & Pacific","Upper middle income",2,0.5,2,2023
"CHN","China","East Asia & Pacific","Upper middle income",3,0.4,5,2023
"CHN","China","East Asia & Pacific","Upper middle income",4,0.167,6,2023
"CHN","China","East Asia & Pacific","Upper middle income",5,0.231,13,2023
"CHN","China","East Asia & Pacific","Upper middle income",8,0.333,6,2023
"CHN","China","East Asia & Pacific","Upper middle income",10,1,1,2023
"CHN","China","East Asia & Pacific","Upper middle income",16,0.4,5,2023
"CHN","China","East Asia & Pacific","Upper middle income",NA,0,1,2023
"CIV","Cote d'Ivoire","Sub-Saharan Africa ","Lower middle income",1,0.6,5,2023
"CIV","Cote d'Ivoire","Sub-Saharan Africa ","Lower middle income",2,1,2,2023
"CIV","Cote d'Ivoire","Sub-Saharan Africa ","Lower middle income",3,1,5,2023
"CIV","Cote d'Ivoire","Sub-Saharan Africa ","Lower middle income",4,0.833,6,2023
"CIV","Cote d'Ivoire","Sub-Saharan Africa ","Lower middle income",5,0.538,13,2023
"CIV","Cote d'Ivoire","Sub-Saharan Africa ","Lower middle income",8,0.833,6,2023
"CIV","Cote d'Ivoire","Sub-Saharan Africa ","Lower middle income",10,1,1,2023
"CIV","Cote d'Ivoire","Sub-Saharan Africa ","Lower middle income",16,0.6,5,2023
"CIV","Cote d'Ivoire","Sub-Saharan Africa ","Lower middle income",NA,0,1,2023
"CMR","Cameroon","Sub-Saharan Africa ","Lower middle income",1,0.4,5,2023
"CMR","Cameroon","Sub-Saharan Africa ","Lower middle income",2,0.5,2,2023
"CMR","Cameroon","Sub-Saharan Africa ","Lower middle income",3,0.6,5,2023
"CMR","Cameroon","Sub-Saharan Africa ","Lower middle income",4,0.5,6,2023
"CMR","Cameroon","Sub-Saharan Africa ","Lower middle income",5,0.231,13,2023
"CMR","Cameroon","Sub-Saharan Africa ","Lower middle income",8,0.333,6,2023
"CMR","Cameroon","Sub-Saharan Africa ","Lower middle income",10,1,1,2023
"CMR","Cameroon","Sub-Saharan Africa ","Lower middle income",16,0.489,5,2023
"CMR","Cameroon","Sub-Saharan Africa ","Lower middle income",NA,0,1,2023
"COD","Congo, Dem. Rep.","Sub-Saharan Africa ","Low income",1,0.4,5,2023
"COD","Congo, Dem. Rep.","Sub-Saharan Africa ","Low income",2,0.5,2,2023
"COD","Congo, Dem. Rep.","Sub-Saharan Africa ","Low income",3,0.4,5,2023
"COD","Congo, Dem. Rep.","Sub-Saharan Africa ","Low income",4,0.667,6,2023
"COD","Congo, Dem. Rep.","Sub-Saharan Africa ","Low income",5,0.154,13,2023
"COD","Congo, Dem. Rep.","Sub-Saharan Africa ","Low income",8,0.5,6,2023
"COD","Congo, Dem. Rep.","Sub-Saharan Africa ","Low income",10,1,1,2023
"COD","Congo, Dem. Rep.","Sub-Saharan Africa ","Low income",16,0.289,5,2023
"COD","Congo, Dem. Rep.","Sub-Saharan Africa ","Low income",NA,0,1,2023
"COG","Congo, Rep.","Sub-Saharan Africa ","Lower middle income",1,0,5,2023
"COG","Congo, Rep.","Sub-Saharan Africa ","Lower middle income",2,0.5,2,2023
"COG","Congo, Rep.","Sub-Saharan Africa ","Lower middle income",3,0.4,5,2023
"COG","Congo, Rep.","Sub-Saharan Africa ","Lower middle income",4,0.333,6,2023
"COG","Congo, Rep.","Sub-Saharan Africa ","Lower middle income",5,0.231,13,2023
"COG","Congo, Rep.","Sub-Saharan Africa ","Lower middle income",8,0.167,6,2023
"COG","Congo, Rep.","Sub-Saharan Africa ","Lower middle income",10,0,1,2023
"COG","Congo, Rep.","Sub-Saharan Africa ","Lower middle income",16,0.2,5,2023
"COG","Congo, Rep.","Sub-Saharan Africa ","Lower middle income",NA,0,1,2023
"COL","Colombia","Latin America & Caribbean ","Upper middle income",1,0.8,5,2023
"COL","Colombia","Latin America & Caribbean ","Upper middle income",2,0.5,2,2023
"COL","Colombia","Latin America & Caribbean ","Upper middle income",3,0.8,5,2023
"COL","Colombia","Latin America & Caribbean ","Upper middle income",4,0.5,6,2023
"COL","Colombia","Latin America & Caribbean ","Upper middle income",5,0.615,13,2023
"COL","Colombia","Latin America & Caribbean ","Upper middle income",8,0.833,6,2023
"COL","Colombia","Latin America & Caribbean ","Upper middle income",10,1,1,2023
"COL","Colombia","Latin America & Caribbean ","Upper middle income",16,0.76,5,2023
"COL","Colombia","Latin America & Caribbean ","Upper middle income",NA,0,1,2023
"COM","Comoros","Sub-Saharan Africa ","Lower middle income",1,0.2,5,2023
"COM","Comoros","Sub-Saharan Africa ","Lower middle income",2,0,2,2023
"COM","Comoros","Sub-Saharan Africa ","Lower middle income",3,0.6,5,2023
"COM","Comoros","Sub-Saharan Africa ","Lower middle income",4,0.5,6,2023
